cast,cast_id,cast_url,certificate,director,director_id,director_url,genre,gross,metascore,movie_id,movie_name,movie_url,plot,poster,rating,runtime,votes,year
"Adam Sandler,Julia Fox,Idina Menzel,Mesfin Lamengo","nm0001191,nm9681752,nm0579953,nm11243726","https://www.imdb.com/name/nm0001191,https://www.imdb.com/name/nm9681752,https://www.imdb.com/name/nm0579953,https://www.imdb.com/name/nm11243726",R,"Josh Safdie,Benny Safdie","nm1343394,nm1509478","https://www.imdb.com/name/nm1343394,https://www.imdb.com/name/nm1509478","Crime,Drama,Thriller",,90        ,tt5727208,Uncut Gems,https://www.imdb.com/title/tt5727208,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.5,135 min,172560,2019
"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy","nm0001618,nm0000134,nm5939164,nm0175814","https://www.imdb.com/name/nm0001618,https://www.imdb.com/name/nm0000134,https://www.imdb.com/name/nm5939164,https://www.imdb.com/name/nm0175814",R,Todd Phillips,nm0680846,https://www.imdb.com/name/nm0680846,"Crime,Drama,Thriller",$335.45M,59        ,tt7286456,Joker,https://www.imdb.com/title/tt7286456,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,8.5,122 min,800727,2019
"Samara Weaving,Adam Brody,Mark O'Brien,Henry Czerny","nm3034977,nm0111013,nm1975628,nm0001089","https://www.imdb.com/name/nm3034977,https://www.imdb.com/name/nm0111013,https://www.imdb.com/name/nm1975628,https://www.imdb.com/name/nm0001089",R,"Tyler Gillett,Matt Bettinelli-Olpin","nm2419470,nm2366012","https://www.imdb.com/name/nm2419470,https://www.imdb.com/name/nm2366012","Comedy,Horror,Mystery",$26.74M,64        ,tt7798634,Ready or Not,https://www.imdb.com/title/tt7798634,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.8,95 min,82244,2019
"Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch","nm0000138,nm0000093,nm3053338,nm0386472","https://www.imdb.com/name/nm0000138,https://www.imdb.com/name/nm0000093,https://www.imdb.com/name/nm3053338,https://www.imdb.com/name/nm0386472",R,Quentin Tarantino,nm0000233,https://www.imdb.com/name/nm0000233,"Comedy,Drama",$142.50M,83        ,tt7131622,Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.7,161 min,473365,2019
"Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong","nm0000190,nm0402271,nm1890784,nm0834989","https://www.imdb.com/name/nm0000190,https://www.imdb.com/name/nm0402271,https://www.imdb.com/name/nm1890784,https://www.imdb.com/name/nm0834989",R,Guy Ritchie,nm0005363,https://www.imdb.com/name/nm0005363,"Action,Comedy,Crime",,51        ,tt8367814,The Gentlemen,https://www.imdb.com/title/tt8367814,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.9,113 min,142016,2019
"Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,Woo-sik Choi","nm0814280,nm1310525,nm1856097,nm6079248","https://www.imdb.com/name/nm0814280,https://www.imdb.com/name/nm1310525,https://www.imdb.com/name/nm1856097,https://www.imdb.com/name/nm6079248",R,Bong Joon Ho,nm0094435,https://www.imdb.com/name/nm0094435,"Comedy,Drama,Thriller",$53.37M,96        ,tt6751668,Parasite,https://www.imdb.com/title/tt6751668,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,8.6,132 min,418729,2019
"Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth","nm2835616,nm1126657,nm0990547,nm0000147","https://www.imdb.com/name/nm2835616,https://www.imdb.com/name/nm1126657,https://www.imdb.com/name/nm0990547,https://www.imdb.com/name/nm0000147",R,Sam Mendes,nm0005222,https://www.imdb.com/name/nm0005222,"Drama,War",$159.23M,78        ,tt8579674,1917,https://www.imdb.com/title/tt8579674,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,8.3,119 min,320582,2019
"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis","nm0185819,nm0262635,nm1869101,nm0000130","https://www.imdb.com/name/nm0185819,https://www.imdb.com/name/nm0262635,https://www.imdb.com/name/nm1869101,https://www.imdb.com/name/nm0000130",PG-13,Rian Johnson,nm0426059,https://www.imdb.com/name/nm0426059,"Comedy,Crime,Drama",$165.36M,82        ,tt8946378,Knives Out,https://www.imdb.com/title/tt8946378,"A detective investigates the death of a patriarch of an eccentric, combative family.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.9,130 min,312302,2019
"Taron Egerton,Jamie Bell,Richard Madden,Bryce Dallas Howard","nm5473782,nm0068260,nm0534635,nm0397171","https://www.imdb.com/name/nm5473782,https://www.imdb.com/name/nm0068260,https://www.imdb.com/name/nm0534635,https://www.imdb.com/name/nm0397171",R,Dexter Fletcher,nm0002077,https://www.imdb.com/name/nm0002077,"Biography,Drama,Music",$96.37M,69        ,tt2066051,Rocketman,https://www.imdb.com/title/tt2066051,A musical fantasy about the fantastical human story of,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.3,121 min,115071,2019
"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth","nm0000375,nm0262635,nm0749263,nm1165110","https://www.imdb.com/name/nm0000375,https://www.imdb.com/name/nm0262635,https://www.imdb.com/name/nm0749263,https://www.imdb.com/name/nm1165110",PG-13,"Joe Russo,Anthony Russo","nm0751648,nm0751577","https://www.imdb.com/name/nm0751648,https://www.imdb.com/name/nm0751577","Action,Adventure,Drama",$858.37M,78        ,tt4154796,Avengers: Endgame,https://www.imdb.com/title/tt4154796,After the devastating events of,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,8.4,181 min,723893,2019
